  └─ debt=4.25 res=0.75 ent=0.34 emg=0.49 B:8 H:3 F:20 A:49 V:14 T:0
  └─ debt=4.17 res=0.75 ent=0.34 emg=0.50 B:8 H:4 F:20 A:47 V:16 T:0
  └─ debt=4.08 res=0.76 ent=0.34 emg=0.50 B:8 H:3 F:18 A:35 V:16 T:0
  └─ debt=4.00 res=0.76 ent=0.34 emg=0.50 B:8 H:3 F:18 A:37 V:17 T:0
  └─ debt=3.92 res=0.76 ent=0.34 emg=0.50 B:8 H:4 F:17 A:41 V:19 T:0
  └─ debt=4.17 res=0.76 ent=0.34 emg=0.51 B:8 H:4 F:17 A:35 V:17 T:0
  └─ debt=4.12 res=0.87 ent=0.10 emg=0.79 B:8 H:4 F:17 A:45 V:16 T:0
  └─ debt=4.04 res=0.76 ent=0.30 emg=0.53 B:8 H:4 F:17 A:52 V:19 T:0
  └─ debt=3.96 res=0.88 ent=0.10 emg=0.79 B:8 H:4 F:15 A:48 V:19 T:0
  └─ debt=3.88 res=0.76 ent=0.30 emg=0.53 B:8 H:3 F:19 A:58 V:17 T:0
  └─ debt=3.80 res=0.76 ent=0.34 emg=0.51 B:8 H:3 F:19 A:43 V:14 T:0
  └─ debt=3.73 res=0.89 ent=0.10 emg=0.80 B:8 H:4 F:20 A:55 V:16 T:0
  └─ debt=3.65 res=0.77 ent=0.30 emg=0.54 B:9 H:3 F:18 A:40 V:16 T:0
  └─ debt=4.06 res=0.89 ent=0.10 emg=0.80 B:8 H:4 F:20 A:48 V:17 T:0
  └─ debt=3.98 res=0.76 ent=0.30 emg=0.53 B:8 H:3 F:19 A:41 V:19 T:0
  └─ debt=3.95 res=0.76 ent=0.34 emg=0.50 B:8 H:3 F:19 A:43 V:17 T:0
  └─ debt=4.18 res=0.76 ent=0.34 emg=0.51 B:8 H:3 F:16 A:43 V:16 T:0
  └─ debt=4.10 res=0.75 ent=0.34 emg=0.50 B:12 H:3 F:14 A:43 V:19 T:0
  └─ debt=4.02 res=0.76 ent=0.34 emg=0.50 B:8 H:4 F:16 A:39 V:19 T:0
  └─ debt=3.94 res=0.76 ent=0.34 emg=0.50 B:8 H:3 F:12 A:37 V:17 T:0
  └─ debt=3.86 res=0.76 ent=0.34 emg=0.50 B:8 H:3 F:13 A:31 V:14 T:0
  └─ debt=3.78 res=0.76 ent=0.34 emg=0.51 B:8 H:3 F:14 A:30 V:16 T:0
  └─ debt=3.71 res=0.77 ent=0.34 emg=0.51 B:8 H:3 F:16 A:37 V:16 T:0
  └─ debt=3.63 res=0.77 ent=0.34 emg=0.51 B:8 H:3 F:15 A:27 V:17 T:0
  └─ debt=3.56 res=0.77 ent=0.33 emg=0.51 B:8 H:3 F:15 A:38 V:19 T:0
  └─ debt=3.49 res=0.77 ent=0.33 emg=0.52 B:8 H:4 F:19 A:31 V:17 T:0
  └─ debt=3.90 res=0.90 ent=0.10 emg=0.81 B:8 H:5 F:13 A:38 V:16 T:0
  └─ debt=3.82 res=0.76 ent=0.30 emg=0.54 B:8 H:3 F:14 A:31 V:19 T:0
  └─ debt=4.00 res=0.77 ent=0.34 emg=0.51 B:16 H:5 F:12 A:42 V:19 T:0
  └─ debt=3.92 res=0.76 ent=0.34 emg=0.51 B:8 H:3 F:11 A:36 V:17 T:0
  └─ debt=3.84 res=0.76 ent=0.34 emg=0.51 B:8 H:4 F:12 A:35 V:14 T:0
  └─ debt=3.76 res=0.76 ent=0.34 emg=0.51 B:8 H:4 F:13 A:26 V:16 T:0
  └─ debt=3.69 res=0.77 ent=0.34 emg=0.51 B:8 H:3 F:12 A:33 V:16 T:0
  └─ debt=3.92 res=0.77 ent=0.33 emg=0.51 B:11 H:4 F:12 A:30 V:17 T:0
  └─ debt=3.84 res=0.76 ent=0.33 emg=0.51 B:8 H:4 F:14 A:43 V:19 T:0
  └─ debt=3.77 res=0.76 ent=0.34 emg=0.51 B:8 H:4 F:13 A:27 V:17 T:0
  └─ debt=3.69 res=0.89 ent=0.10 emg=0.80 B:8 H:5 F:14 A:46 V:16 T:0
  └─ debt=3.62 res=0.77 ent=0.30 emg=0.54 B:8 H:3 F:14 A:39 V:19 T:0
  └─ debt=4.02 res=0.89 ent=0.10 emg=0.80 B:8 H:3 F:17 A:59 V:19 T:0
  └─ debt=3.94 res=0.76 ent=0.30 emg=0.53 B:8 H:2 F:18 A:51 V:17 T:0
  └─ debt=3.86 res=0.76 ent=0.34 emg=0.50 B:8 H:3 F:17 A:52 V:14 T:0
  └─ debt=3.78 res=0.76 ent=0.34 emg=0.51 B:9 H:3 F:17 A:41 V:16 T:0
  └─ debt=3.71 res=0.77 ent=0.34 emg=0.51 B:8 H:4 F:17 A:38 V:16 T:0
  └─ debt=4.08 res=0.77 ent=0.34 emg=0.51 B:8 H:3 F:18 A:31 V:17 T:0
  └─ debt=4.00 res=0.76 ent=0.33 emg=0.50 B:8 H:4 F:23 A:47 V:19 T:0
  └─ debt=3.92 res=0.76 ent=0.34 emg=0.50 B:8 H:4 F:24 A:36 V:17 T:0
  └─ debt=3.84 res=0.88 ent=0.10 emg=0.79 B:8 H:4 F:16 A:49 V:16 T:0
  └─ debt=4.01 res=0.76 ent=0.30 emg=0.54 B:8 H:2 F:22 A:47 V:19 T:0
  └─ debt=3.93 res=0.76 ent=0.34 emg=0.50 B:8 H:4 F:21 A:45 V:19 T:0
  └─ debt=3.85 res=0.76 ent=0.34 emg=0.51 B:8 H:3 F:22 A:38 V:17 T:0
  └─ debt=3.78 res=0.76 ent=0.34 emg=0.51 B:8 H:3 F:23 A:47 V:14 T:0
  └─ debt=3.70 res=0.77 ent=0.34 emg=0.51 B:8 H:4 F:26 A:36 V:16 T:0
  └─ debt=3.63 res=0.77 ent=0.33 emg=0.51 B:8 H:3 F:24 A:30 V:16 T:0
  └─ debt=3.55 res=0.77 ent=0.33 emg=0.51 B:8 H:3 F:24 A:37 V:17 T:0
  └─ debt=3.48 res=0.77 ent=0.33 emg=0.52 B:8 H:4 F:24 A:30 V:19 T:0
  └─ debt=3.41 res=0.78 ent=0.33 emg=0.52 B:8 H:4 F:18 A:32 V:17 T:0
  └─ debt=3.77 res=0.90 ent=0.10 emg=0.81 B:8 H:5 F:17 A:51 V:16 T:0
  └─ debt=3.70 res=0.77 ent=0.30 emg=0.54 B:9 H:4 F:15 A:40 V:19 T:0
  └─ debt=3.76 res=0.89 ent=0.10 emg=0.80 B:8 H:5 F:19 A:62 V:19 T:0
  └─ debt=3.68 res=0.77 ent=0.30 emg=0.54 B:8 H:3 F:14 A:49 V:17 T:0
  └─ debt=3.61 res=0.77 ent=0.33 emg=0.51 B:8 H:3 F:14 A:43 V:14 T:0
  └─ debt=3.54 res=0.89 ent=0.10 emg=0.80 B:8 H:4 F:14 A:41 V:16 T:0
  └─ debt=3.47 res=0.77 ent=0.30 emg=0.54 B:8 H:3 F:14 A:46 V:16 T:0
  └─ debt=3.70 res=0.78 ent=0.33 emg=0.52 B:8 H:4 F:16 A:41 V:17 T:0
  └─ debt=3.63 res=0.77 ent=0.33 emg=0.51 B:8 H:3 F:17 A:58 V:19 T:0
  └─ debt=3.55 res=0.77 ent=0.33 emg=0.51 B:8 H:4 F:16 A:39 V:17 T:0
  └─ debt=3.48 res=0.89 ent=0.10 emg=0.80 B:8 H:4 F:17 A:50 V:16 T:0
  └─ debt=3.66 res=0.78 ent=0.30 emg=0.55 B:8 H:5 F:17 A:48 V:19 T:0
  └─ debt=3.59 res=0.77 ent=0.33 emg=0.51 B:8 H:4 F:18 A:50 V:19 T:0
  └─ debt=3.52 res=0.77 ent=0.33 emg=0.51 B:8 H:3 F:19 A:41 V:17 T:0
  └─ debt=3.45 res=0.77 ent=0.33 emg=0.52 B:8 H:3 F:18 A:38 V:14 T:0
  └─ debt=3.38 res=0.78 ent=0.33 emg=0.52 B:8 H:4 F:18 A:32 V:16 T:0
  └─ debt=3.31 res=0.90 ent=0.10 emg=0.81 B:8 H:3 F:16 A:41 V:16 T:0
  └─ debt=3.56 res=0.78 ent=0.30 emg=0.55 B:9 H:3 F:16 A:39 V:17 T:0
  └─ debt=3.49 res=0.77 ent=0.33 emg=0.52 B:8 H:3 F:17 A:44 V:19 T:0
  └─ debt=3.68 res=0.78 ent=0.33 emg=0.52 B:8 H:4 F:18 A:38 V:17 T:0
  └─ debt=3.61 res=0.77 ent=0.33 emg=0.51 B:8 H:3 F:19 A:44 V:16 T:0
  └─ debt=3.53 res=0.89 ent=0.10 emg=0.80 B:8 H:5 F:20 A:58 V:19 T:0
  └─ debt=3.46 res=0.89 ent=0.10 emg=0.80 B:8 H:4 F:21 A:46 V:19 T:0
  └─ debt=3.39 res=0.90 ent=0.10 emg=0.81 B:8 H:3 F:21 A:47 V:17 T:0
  └─ debt=3.81 res=0.90 ent=0.10 emg=0.81 B:8 H:3 F:23 A:49 V:14 T:0
  └─ debt=3.73 res=0.89 ent=0.10 emg=0.80 B:8 H:4 F:23 A:53 V:16 T:0
  └─ debt=3.75 res=0.89 ent=0.10 emg=0.80 B:8 H:3 F:28 A:47 V:16 T:0
  └─ debt=3.68 res=0.89 ent=0.10 emg=0.80 B:8 H:3 F:27 A:62 V:17 T:0
  └─ debt=3.60 res=0.89 ent=0.10 emg=0.80 B:8 H:4 F:28 A:56 V:19 T:0
  └─ debt=3.53 res=0.89 ent=0.10 emg=0.80 B:9 H:3 F:24 A:43 V:17 T:0
  └─ debt=3.46 res=0.89 ent=0.10 emg=0.80 B:8 H:5 F:22 A:53 V:16 T:0
  └─ debt=3.39 res=0.78 ent=0.30 emg=0.55 B:8 H:3 F:24 A:56 V:19 T:0
  └─ debt=3.32 res=0.90 ent=0.10 emg=0.81 B:8 H:4 F:26 A:44 V:19 T:0
  └─ debt=3.26 res=0.78 ent=0.30 emg=0.55 B:8 H:3 F:24 A:55 V:17 T:0
  └─ debt=3.19 res=0.78 ent=0.33 emg=0.52 B:8 H:3 F:20 A:46 V:14 T:0
  └─ debt=3.13 res=0.78 ent=0.33 emg=0.53 B:8 H:4 F:20 A:42 V:16 T:0
  └─ debt=3.06 res=0.79 ent=0.33 emg=0.53 B:8 H:3 F:18 A:41 V:16 T:0
  └─ debt=3.00 res=0.91 ent=0.10 emg=0.82 B:8 H:4 F:17 A:53 V:17 T:0
  └─ debt=3.42 res=0.91 ent=0.10 emg=0.82 B:8 H:3 F:18 A:54 V:19 T:0
  └─ debt=3.35 res=0.90 ent=0.10 emg=0.81 B:8 H:3 F:19 A:54 V:17 T:0
  └─ debt=3.28 res=0.90 ent=0.10 emg=0.81 B:8 H:4 F:28 A:46 V:16 T:0
  └─ debt=3.22 res=0.90 ent=0.10 emg=0.81 B:8 H:4 F:27 A:43 V:19 T:0
